Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,RapNet Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report File name,Report 2 File name,Sarine Loupe,WebsiteLink,Image 1,Image 2,Image 3,Image 4,Image 5,VideoURL 1,VideoURL 2,VideoURL 3,VideoURL 4,VideoURL 5,Document 1,Document 2,Document 3,Document 1 Type,Document 2 Type,Document 3 Type,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
A6800111,M,Princess,11,L,SI12,VG,VG,G,None,,6.53 x 6.43 x 5.17,,,GIA,,,,,,,,88.8,79,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800112,M,Princess,12,L,SI13,VG,VG,G,None,,6.53 x 6.43 x 5.18,,,GIA,,,,,,,,89.8,80,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800113,M,Princess,13,L,SI14,VG,VG,G,None,,6.53 x 6.43 x 5.19,,,GIA,,,,,,,,90.8,81,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800114,M,Princess,14,L,SI15,VG,VG,G,None,,6.53 x 6.43 x 5.20,,,GIA,,,,,,,,91.8,82,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800115,M,Princess,15,L,SI16,VG,VG,G,None,,6.53 x 6.43 x 5.21,,,GIA,,,,,,,,92.8,83,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800116,M,Princess,16,L,SI17,VG,VG,G,None,,6.53 x 6.43 x 5.22,,,GIA,,,,,,,,93.8,84,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800117,M,Princess,17,L,SI18,VG,VG,G,None,,6.53 x 6.43 x 5.23,,,GIA,,,,,,,,94.8,85,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800118,M,Princess,18,L,SI19,VG,VG,G,None,,6.53 x 6.43 x 5.24,,,GIA,,,,,,,,95.8,86,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800119,M,Princess,19,L,SI20,VG,VG,G,None,,6.53 x 6.43 x 5.25,,,GIA,,,,,,,,96.8,87,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800120,M,Princess,20,L,SI21,VG,VG,G,None,,6.53 x 6.43 x 5.26,,,GIA,,,,,,,,97.8,88,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800121,M,Princess,21,L,SI22,VG,VG,G,None,,6.53 x 6.43 x 5.27,,,GIA,,,,,,,,98.8,89,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800122,M,Princess,22,L,SI23,VG,VG,G,None,,6.53 x 6.43 x 5.28,,,GIA,,,,,,,,99.8,90,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800123,M,Princess,23,L,SI24,VG,VG,G,None,,6.53 x 6.43 x 5.29,,,GIA,,,,,,,,100.8,91,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800124,M,Princess,24,L,SI25,VG,VG,G,None,,6.53 x 6.43 x 5.30,,,GIA,,,,,,,,101.8,92,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800125,M,Princess,25,L,SI26,VG,VG,G,None,,6.53 x 6.43 x 5.31,,,GIA,,,,,,,,102.8,93,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800126,M,Princess,26,L,SI27,VG,VG,G,None,,6.53 x 6.43 x 5.32,,,GIA,,,,,,,,103.8,94,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800127,M,Princess,27,L,SI28,VG,VG,G,None,,6.53 x 6.43 x 5.33,,,GIA,,,,,,,,104.8,95,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800128,M,Princess,28,L,SI29,VG,VG,G,None,,6.53 x 6.43 x 5.34,,,GIA,,,,,,,,105.8,96,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800129,M,Princess,29,L,SI30,VG,VG,G,None,,6.53 x 6.43 x 5.35,,,GIA,,,,,,,,106.8,97,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800130,M,Princess,30,L,SI31,VG,VG,G,None,,6.53 x 6.43 x 5.36,,,GIA,,,,,,,,107.8,98,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800131,M,Princess,31,L,SI32,VG,VG,G,None,,6.53 x 6.43 x 5.37,,,GIA,,,,,,,,108.8,99,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800132,M,Princess,32,L,SI33,VG,VG,G,None,,6.53 x 6.43 x 5.38,,,GIA,,,,,,,,109.8,100,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800133,M,Princess,33,L,SI34,VG,VG,G,None,,6.53 x 6.43 x 5.39,,,GIA,,,,,,,,110.8,101,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800134,M,Princess,34,L,SI35,VG,VG,G,None,,6.53 x 6.43 x 5.40,,,GIA,,,,,,,,111.8,102,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800135,M,Princess,35,L,SI36,VG,VG,G,None,,6.53 x 6.43 x 5.41,,,GIA,,,,,,,,112.8,103,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800136,M,Princess,36,L,SI37,VG,VG,G,None,,6.53 x 6.43 x 5.42,,,GIA,,,,,,,,113.8,104,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800137,M,Princess,37,L,SI38,VG,VG,G,None,,6.53 x 6.43 x 5.43,,,GIA,,,,,,,,114.8,105,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800138,M,Princess,38,L,SI39,VG,VG,G,None,,6.53 x 6.43 x 5.44,,,GIA,,,,,,,,115.8,106,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800139,M,Princess,39,L,SI40,VG,VG,G,None,,6.53 x 6.43 x 5.45,,,GIA,,,,,,,,116.8,107,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800140,M,Princess,40,L,SI41,VG,VG,G,None,,6.53 x 6.43 x 5.46,,,GIA,,,,,,,,117.8,108,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800141,M,Princess,41,L,SI42,VG,VG,G,None,,6.53 x 6.43 x 5.47,,,GIA,,,,,,,,118.8,109,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800142,M,Princess,42,L,SI43,VG,VG,G,None,,6.53 x 6.43 x 5.48,,,GIA,,,,,,,,119.8,110,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800143,M,Princess,43,L,SI44,VG,VG,G,None,,6.53 x 6.43 x 5.49,,,GIA,,,,,,,,120.8,111,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800144,M,Princess,44,L,SI45,VG,VG,G,None,,6.53 x 6.43 x 5.50,,,GIA,,,,,,,,121.8,112,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800145,M,Princess,45,L,SI46,VG,VG,G,None,,6.53 x 6.43 x 5.51,,,GIA,,,,,,,,122.8,113,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800146,M,Princess,46,L,SI47,VG,VG,G,None,,6.53 x 6.43 x 5.52,,,GIA,,,,,,,,123.8,114,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800147,M,Princess,47,L,SI48,VG,VG,G,None,,6.53 x 6.43 x 5.53,,,GIA,,,,,,,,124.8,115,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800148,M,Princess,48,L,SI49,VG,VG,G,None,,6.53 x 6.43 x 5.54,,,GIA,,,,,,,,125.8,116,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800149,M,Princess,49,L,SI50,VG,VG,G,None,,6.53 x 6.43 x 5.55,,,GIA,,,,,,,,126.8,117,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800150,M,Princess,50,L,SI51,VG,VG,G,None,,6.53 x 6.43 x 5.56,,,GIA,,,,,,,,127.8,118,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800151,M,Princess,51,L,SI52,VG,VG,G,None,,6.53 x 6.43 x 5.57,,,GIA,,,,,,,,128.8,119,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800152,M,Princess,52,L,SI53,VG,VG,G,None,,6.53 x 6.43 x 5.58,,,GIA,,,,,,,,129.8,120,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800153,M,Princess,53,L,SI54,VG,VG,G,None,,6.53 x 6.43 x 5.59,,,GIA,,,,,,,,130.8,121,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800154,M,Princess,54,L,SI55,VG,VG,G,None,,6.53 x 6.43 x 5.60,,,GIA,,,,,,,,131.8,122,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800155,M,Princess,55,L,SI56,VG,VG,G,None,,6.53 x 6.43 x 5.61,,,GIA,,,,,,,,132.8,123,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800156,M,Princess,56,L,SI57,VG,VG,G,None,,6.53 x 6.43 x 5.62,,,GIA,,,,,,,,133.8,124,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800157,M,Princess,57,L,SI58,VG,VG,G,None,,6.53 x 6.43 x 5.63,,,GIA,,,,,,,,134.8,125,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800158,M,Princess,58,L,SI59,VG,VG,G,None,,6.53 x 6.43 x 5.64,,,GIA,,,,,,,,135.8,126,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800159,M,Princess,59,L,SI60,VG,VG,G,None,,6.53 x 6.43 x 5.65,,,GIA,,,,,,,,136.8,127,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800160,M,Princess,60,L,SI61,VG,VG,G,None,,6.53 x 6.43 x 5.66,,,GIA,,,,,,,,137.8,128,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800161,M,Princess,61,L,SI62,VG,VG,G,None,,6.53 x 6.43 x 5.67,,,GIA,,,,,,,,138.8,129,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800162,M,Princess,62,L,SI63,VG,VG,G,None,,6.53 x 6.43 x 5.68,,,GIA,,,,,,,,139.8,130,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800163,M,Princess,63,L,SI64,VG,VG,G,None,,6.53 x 6.43 x 5.69,,,GIA,,,,,,,,140.8,131,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800164,M,Princess,64,L,SI65,VG,VG,G,None,,6.53 x 6.43 x 5.70,,,GIA,,,,,,,,141.8,132,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800165,M,Princess,65,L,SI66,VG,VG,G,None,,6.53 x 6.43 x 5.71,,,GIA,,,,,,,,142.8,133,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800166,M,Princess,66,L,SI67,VG,VG,G,None,,6.53 x 6.43 x 5.72,,,GIA,,,,,,,,143.8,134,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800167,M,Princess,67,L,SI68,VG,VG,G,None,,6.53 x 6.43 x 5.73,,,GIA,,,,,,,,144.8,135,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800168,M,Princess,68,L,SI69,VG,VG,G,None,,6.53 x 6.43 x 5.74,,,GIA,,,,,,,,145.8,136,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800169,M,Princess,69,L,SI70,VG,VG,G,None,,6.53 x 6.43 x 5.75,,,GIA,,,,,,,,146.8,137,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800170,M,Princess,70,L,SI71,VG,VG,G,None,,6.53 x 6.43 x 5.76,,,GIA,,,,,,,,147.8,138,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800171,M,Princess,71,L,SI72,VG,VG,G,None,,6.53 x 6.43 x 5.77,,,GIA,,,,,,,,148.8,139,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800172,M,Princess,72,L,SI73,VG,VG,G,None,,6.53 x 6.43 x 5.78,,,GIA,,,,,,,,149.8,140,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800173,M,Princess,73,L,SI74,VG,VG,G,None,,6.53 x 6.43 x 5.79,,,GIA,,,,,,,,150.8,141,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800174,M,Princess,74,L,SI75,VG,VG,G,None,,6.53 x 6.43 x 5.80,,,GIA,,,,,,,,151.8,142,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800175,M,Princess,75,L,SI76,VG,VG,G,None,,6.53 x 6.43 x 5.81,,,GIA,,,,,,,,152.8,143,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800176,M,Princess,76,L,SI77,VG,VG,G,None,,6.53 x 6.43 x 5.82,,,GIA,,,,,,,,153.8,144,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800177,M,Princess,77,L,SI78,VG,VG,G,None,,6.53 x 6.43 x 5.83,,,GIA,,,,,,,,154.8,145,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800178,M,Princess,78,L,SI79,VG,VG,G,None,,6.53 x 6.43 x 5.84,,,GIA,,,,,,,,155.8,146,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800179,M,Princess,79,L,SI80,VG,VG,G,None,,6.53 x 6.43 x 5.85,,,GIA,,,,,,,,156.8,147,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800180,M,Princess,80,L,SI81,VG,VG,G,None,,6.53 x 6.43 x 5.86,,,GIA,,,,,,,,157.8,148,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800181,M,Princess,81,L,SI82,VG,VG,G,None,,6.53 x 6.43 x 5.87,,,GIA,,,,,,,,158.8,149,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800182,M,Princess,82,L,SI83,VG,VG,G,None,,6.53 x 6.43 x 5.88,,,GIA,,,,,,,,159.8,150,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800183,M,Princess,83,L,SI84,VG,VG,G,None,,6.53 x 6.43 x 5.89,,,GIA,,,,,,,,160.8,151,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800184,M,Princess,84,L,SI85,VG,VG,G,None,,6.53 x 6.43 x 5.90,,,GIA,,,,,,,,161.8,152,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800185,M,Princess,85,L,SI86,VG,VG,G,None,,6.53 x 6.43 x 5.91,,,GIA,,,,,,,,162.8,153,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800186,M,Princess,86,L,SI87,VG,VG,G,None,,6.53 x 6.43 x 5.92,,,GIA,,,,,,,,163.8,154,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800187,M,Princess,87,L,SI88,VG,VG,G,None,,6.53 x 6.43 x 5.93,,,GIA,,,,,,,,164.8,155,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800188,M,Princess,88,L,SI89,VG,VG,G,None,,6.53 x 6.43 x 5.94,,,GIA,,,,,,,,165.8,156,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800189,M,Princess,89,L,SI90,VG,VG,G,None,,6.53 x 6.43 x 5.95,,,GIA,,,,,,,,166.8,157,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800190,M,Princess,90,L,SI91,VG,VG,G,None,,6.53 x 6.43 x 5.96,,,GIA,,,,,,,,167.8,158,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800191,M,Princess,91,L,SI92,VG,VG,G,None,,6.53 x 6.43 x 5.97,,,GIA,,,,,,,,168.8,159,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800192,M,Princess,92,L,SI93,VG,VG,G,None,,6.53 x 6.43 x 5.98,,,GIA,,,,,,,,169.8,160,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800193,M,Princess,93,L,SI94,VG,VG,G,None,,6.53 x 6.43 x 5.99,,,GIA,,,,,,,,170.8,161,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800194,M,Princess,94,L,SI95,VG,VG,G,None,,6.53 x 6.43 x 5.100,,,GIA,,,,,,,,171.8,162,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800195,M,Princess,95,L,SI96,VG,VG,G,None,,6.53 x 6.43 x 5.101,,,GIA,,,,,,,,172.8,163,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
